City_ID,City,Lat,Lng,Max Temp,Max Temp (c),Humidity,Cloudiness,Wind Speed,Country,Date
0,bahia blanca,-38.7196,-62.2724,290.44,17.29000000000002,100,0,3.6,AR,1674818625
1,kargasok,59.0556,80.8572,266.87,-6.279999999999973,91,99,5.44,RU,1674818625
2,cape town,-33.9258,18.4232,299.87,26.720000000000027,52,0,7.72,ZA,1674818625
3,port alfred,-33.5906,26.891,299.36,26.210000000000036,78,10,1.79,ZA,1674818626
4,punta arenas,-53.15,-70.9167,283.21,10.060000000000002,76,75,2.57,CL,1674818626
5,sudbury,46.49,-80.99,252.69,-20.45999999999998,100,23,1.42,CA,1674818628
6,jamestown,42.097,-79.2353,269.92,-3.2299999999999613,73,100,4.63,US,1674818628
7,hobart,-42.8794,147.3294,294.07,20.920000000000016,52,0,6.17,AU,1674818457
8,mataura,-46.1927,168.8643,279.77,6.6200000000000045,88,3,0.61,NZ,1674818629
9,bethel,41.3712,-73.414,273.98,0.8300000000000409,77,0,0.0,US,1674818629
10,vaini,-21.2,-175.2,298.24,25.090000000000032,100,20,1.03,TO,1674818630
11,antsohihy,-14.8796,47.9875,304.29,31.140000000000043,60,78,4.6,MG,1674818630
12,matamoros,25.5333,-103.25,280.21,7.060000000000002,62,20,4.63,MX,1674818630
13,mount isa,-20.7333,139.5,305.02,31.870000000000005,43,58,3.09,AU,1674818631
14,hasaki,35.7333,140.8333,276.6,3.4500000000000455,87,100,0.93,JP,1674818396
15,marsaxlokk,35.8419,14.5431,286.49,13.340000000000032,71,20,7.72,MT,1674818632
16,nanortalik,60.1432,-45.2371,268.95,-4.199999999999989,88,100,8.59,GL,1674818632
17,port elizabeth,-33.918,25.5701,302.09,28.939999999999998,66,0,4.63,ZA,1674818633
18,staryy nadym,65.6118,72.6842,265.24,-7.909999999999968,88,64,8.43,RU,1674818633
19,tasiilaq,65.6145,-37.6368,265.24,-7.909999999999968,45,0,9.61,GL,1674818633
20,hilo,19.7297,-155.09,294.4,21.25,88,75,2.57,US,1674818530
21,husavik,66.0449,-17.3389,272.85,-0.2999999999999545,67,7,18.81,IS,1674818635
22,kapaa,22.0752,-159.319,292.33,19.180000000000007,73,20,4.12,US,1674818635
23,angoche,-16.2325,39.9086,304.48,31.33000000000004,59,94,4.83,MZ,1674818635
24,aswan,24.0934,32.907,299.93,26.78000000000003,20,0,1.22,EG,1674818635
25,sitka,57.0531,-135.33,278.09,4.939999999999998,87,100,4.12,US,1674818636
26,natal,-5.795,-35.2094,300.51,27.360000000000014,78,40,3.09,BR,1674818636
